filename,kappa,c,logL,detector,duration,sample_rate,filepath
G-G1_GWOSC_O3GK_4KHZ_R1-1270333440-4096.hdf5,0.0,0.75,-576244.4014805884,G1,4096,4096.0,data\G-G1_GWOSC_O3GK_4KHZ_R1-1270333440-4096.hdf5
G-G1_GWOSC_O3GK_4KHZ_R1-1270333440-4096.hdf5,1.0,0.0,-127955.13975947651,G1,4096,4096.0,data\G-G1_GWOSC_O3GK_4KHZ_R1-1270333440-4096.hdf5
G-G1_GWOSC_O3GK_4KHZ_R1-1270333440-4096.hdf5,1.0,0.75,-127393.9241029787,G1,4096,4096.0,data\G-G1_GWOSC_O3GK_4KHZ_R1-1270333440-4096.hdf5
H-H1_GWOSC_16KHZ_R1-1126259447-32.hdf5,0.0,0.0,-576208.0915501565,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1126259447-32.hdf5
H-H1_GWOSC_16KHZ_R1-1126259447-32.hdf5,0.0,0.75,-576208.0915501565,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1126259447-32.hdf5
H-H1_GWOSC_16KHZ_R1-1126259447-32.hdf5,1.0,0.0,-127949.64978466004,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1126259447-32.hdf5
H-H1_GWOSC_16KHZ_R1-1126259447-32.hdf5,1.0,0.75,-127385.66557526024,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1126259447-32.hdf5
H-H1_GWOSC_16KHZ_R1-1128678885-32.hdf5,0.0,0.0,-576234.0899759885,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1128678885-32.hdf5
H-H1_GWOSC_16KHZ_R1-1128678885-32.hdf5,0.0,0.75,-576234.0899759885,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1128678885-32.hdf5
H-H1_GWOSC_16KHZ_R1-1128678885-32.hdf5,1.0,0.0,-127944.33181784634,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1128678885-32.hdf5
H-H1_GWOSC_16KHZ_R1-1128678885-32.hdf5,1.0,0.75,-127380.068497662,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1128678885-32.hdf5
H-H1_GWOSC_16KHZ_R1-1135136335-32.hdf5,0.0,0.0,-576370.9583512417,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1135136335-32.hdf5
H-H1_GWOSC_16KHZ_R1-1135136335-32.hdf5,0.0,0.75,-576370.9583512417,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1135136335-32.hdf5
H-H1_GWOSC_16KHZ_R1-1135136335-32.hdf5,1.0,0.0,-127919.40245543116,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1135136335-32.hdf5
H-H1_GWOSC_16KHZ_R1-1135136335-32.hdf5,1.0,0.75,-127354.55296882188,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1135136335-32.hdf5
H-H1_GWOSC_16KHZ_R1-1167557889-4096.hdf5,0.0,0.0,-576113.4109272953,H1,4096,16384.0,data\H-H1_GWOSC_16KHZ_R1-1167557889-4096.hdf5
H-H1_GWOSC_16KHZ_R1-1167557889-4096.hdf5,0.0,0.75,-576113.4109272953,H1,4096,16384.0,data\H-H1_GWOSC_16KHZ_R1-1167557889-4096.hdf5
H-H1_GWOSC_16KHZ_R1-1167557889-4096.hdf5,1.0,0.0,-127967.11080712324,H1,4096,16384.0,data\H-H1_GWOSC_16KHZ_R1-1167557889-4096.hdf5
