filename,best_kappa,best_c,best_logL,entropy_shape,data_points,energy_min,energy_max,obs_min,obs_max,meta_detector,meta_duration,meta_sample_rate,meta_filepath
H-H1_GWOSC_16KHZ_R1-1266645864-32.hdf5,1.0,0.75,-127383.12767020868,log,400,100.0,150.0,0.001,0.005,H1,32.0,16384.0,data\H-H1_GWOSC_16KHZ_R1-1266645864-32.hdf5
H-H1_GWOSC_16KHZ_R1-1267724172-32.hdf5,1.0,0.75,-127335.2639411158,log,400,100.0,150.0,0.001,0.005,H1,32.0,16384.0,data\H-H1_GWOSC_16KHZ_R1-1267724172-32.hdf5
H-H1_GWOSC_16KHZ_R1-1267963136-32.hdf5,1.0,0.75,-127400.51428230414,log,400,100.0,150.0,0.001,0.005,H1,32.0,16384.0,data\H-H1_GWOSC_16KHZ_R1-1267963136-32.hdf5
H-H1_GWOSC_16KHZ_R1-1268431079-32.hdf5,1.0,0.75,-127400.40946291568,log,400,100.0,150.0,0.001,0.005,H1,32.0,16384.0,data\H-H1_GWOSC_16KHZ_R1-1268431079-32.hdf5
H-H1_GWOSC_4KHZ_R1-1126259447-32.hdf5,1.0,0.75,-127229.93436082688,log,400,100.0,150.0,0.001,0.005,H1,32.0,4096.0,data\H-H1_GWOSC_4KHZ_R1-1126259447-32.hdf5
H-H1_GWOSC_4KHZ_R1-1167557889-4096.hdf5,1.0,0.75,-127406.36246766004,log,400,100.0,150.0,0.001,0.005,H1,4096.0,4096.0,data\H-H1_GWOSC_4KHZ_R1-1167557889-4096.hdf5
H-H1_GWOSC_4KHZ_R1-1167559921-32.hdf5,1.0,0.75,-127389.85690568895,log,400,100.0,150.0,0.001,0.005,H1,32.0,4096.0,data\H-H1_GWOSC_4KHZ_R1-1167559921-32.hdf5
H-H1_GWOSC_4KHZ_R1-1187527209-4096.hdf5,1.0,0.75,-127407.90516802992,log,400,100.0,150.0,0.001,0.005,H1,4096.0,4096.0,data\H-H1_GWOSC_4KHZ_R1-1187527209-4096.hdf5
H-H1_GWOSC_4KHZ_R1-1187529241-32.hdf5,1.0,0.75,-126598.03899410756,log,400,100.0,150.0,0.001,0.005,H1,32.0,4096.0,data\H-H1_GWOSC_4KHZ_R1-1187529241-32.hdf5
H-H1_GWOSC_4KHZ_R1-1253509418-32.hdf5,1.0,0.75,-127366.18101140288,log,400,100.0,150.0,0.001,0.005,H1,32.0,4096.0,data\H-H1_GWOSC_4KHZ_R1-1253509418-32.hdf5
